Names,Canonical SMILES,INCHIKEY,CAS number,Canonicalized Taste,Source,Canonicalized SMILES,Original Labels
Cucurbitacin B,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3CC(C(=O)C4(C)C)O)C)C)C)O)O,IXQKXEUSCPEQRD-DKRGWESNSA-N,6199-67-3,bitter,tas2r_agonists,CC(=O)OC(C)(C)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CC(O)C(=O)C4(C)C)C3(C)C(=O)CC12C,Ligand to Tas2 Receptor
Cucurbitacin D,CC1(C2=CCC3C4(CC(C(C4(CC(=O)C3(C2CC(C1=O)O)C)C)C(C)(C(=O)C=CC(C)(C)O)O)O)C)C,SRPHMISUTWFFKJ-QJNWWGCFSA-N,3877-86-9,bitter,tas2r_agonists,CC(C)(O)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(CC(O)C(=O)C4(C)C)C3(C)C(=O)CC12C,Ligand to Tas2 Receptor
Cucurbitacin E,CC(=O)OC(C)(C)C=CC(=O)C(C)(C1C(CC2(C1(CC(=O)C3(C2CC=C4C3C=C(C(=O)C4(C)C)O)C)C)C)O)O,NDYMQXYDSVBNLL-MUYMLXPFSA-N,18444-66-1,bitter,tas2r_agonists,CC(=O)OC(C)(C)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(O)C(=O)C4(C)C)C3(C)C(=O)CC12C,Ligand to Tas2 Receptor
Cucurbitacin I,CC1(C2=CCC3C4(CC(C(C4(CC(=O)C3(C2C=C(C1=O)O)C)C)C(C)(C(=O)C=CC(C)(C)O)O)O)C)C,NISPVUDLMHQFRQ-MKIKIEMVSA-N,2222 07 03,bitter,tas2r_agonists,CC(C)(O)C=CC(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(O)C(=O)C4(C)C)C3(C)C(=O)CC12C,Ligand to Tas2 Receptor
D-Amygdalin,C1=CC=C(C=C1)C(C#N)OC2C(C(C(C(O2)COC3C(C(C(C(O3)CO)O)O)O)O)O)O,XUCIJNAGGSZNQT-UHFFFAOYSA-N,9883-15-6,bitter,tas2r_agonists,N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,Ligand to Tas2 Receptor
Docosahexaenoic Acid; DHA,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,MBMBGCFOFBJSGT-KUBAVDMBSA-N,6217-54-5,bitter,tas2r_agonists,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,Ligand to Tas2 Receptor
D-phenylalanine; D-Phe,C1=CC=C(C=C1)CC(C(=O)O)N,COLNVLDHVKWLRT-MRVPVSSYSA-N,673-06-3 ,bitter,tas2r_agonists,NC(Cc1ccccc1)C(=O)O,Ligand to Tas2 Receptor
Epigallocatechin gallate; EGCG,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,WMBWREPUVVBILR-WIYYLYMNSA-N,989-51-5,bitter,tas2r_agonists,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,Ligand to Tas2 Receptor
Ethylpyrazine,CCC1=NC=CN=C1,KVFIJIWMDBAGDP-UHFFFAOYSA-N,13925-00-3,bitter,tas2r_agonists,CCc1cnccn1,Ligand to Tas2 Receptor
Falcarindiol,CCCCCCCC=CC(C#CC#CC(C=C)O)O,QWCNQXNAFCBLLV-YWALDVPYSA-N,225110-25-8,bitter,tas2r_agonists,C=CC(O)C#CC#CC(O)C=CCCCCCCC,Ligand to Tas2 Receptor
Ferulic acid,COC1=C(C=CC(=C1)C=CC(=O)O)O,KSEBMYQBYZTDHS-HWKANZROSA-N,1135-24-6,bitter,tas2r_agonists,COc1cc(C=CC(=O)O)ccc1O,Ligand to Tas2 Receptor
Genistein,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,TZBJGXHYKVUXJN-UHFFFAOYSA-N,446-72-0,bitter,tas2r_agonists,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,Ligand to Tas2 Receptor
Gentiobiose,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O)O,DLRVVLDZNNYCBX-LIZSDCNHSA-N,5996-00-9,bitter,tas2r_agonists,OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O,Ligand to Tas2 Receptor
Glucoputranjivin,CC(C)C(=NOS(=O)(=O)[O-])SC1C(C(C(C(O1)CO)O)O)O,WGIQZGDVCQDPTG-WUBUQRIPSA-M,18432-16-1,bitter,tas2r_agonists,CC(C)C(=NOS(=O)(=O)[O-])SC1OC(CO)C(O)C(O)C1O,Ligand to Tas2 Receptor
Grandinin,C1C2C(C3C4C(C5=C(C(=C(C(=C5C(=O)O4)C6=C(C(=C(C(=C6C(=O)O3)C7=C(C(=C(C=C7C(=O)O2)O)O)O)O)O)O)O)O)O)C8(C(C(C(O8)CO)O)O)O)OC(=O)C9=CC(=C(C(=C9C2=C(C(=C(C=C2C(=O)O1)O)O)O)O)O)O,GCEXRPOQEVIITL-XJDSPLDHSA-N,115166-32-0,bitter,tas2r_agonists,O=C1OCC2OC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c(O)c4c3C(=O)OC(C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O)C1OC(=O)c2c-4c(O)c(O)c(O)c2C1C1(O)OC(CO)C(O)C1O,Ligand to Tas2 Receptor
Grosheimin; Grossheimin,CC1C2C(CC1=O)C(=C)CC(C3C2OC(=O)C3=C)O,YGMIBVIKXJJQQJ-MSOSQAFRSA-N,22489-66-3,bitter,tas2r_agonists,C=C1CC(O)C2C(=C)C(=O)OC2C2C(C)C(=O)CC12,Ligand to Tas2 Receptor
Humulone,CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,VMSLCPKYRPDHLN-NRFANRHFSA-N,26472-41-3 ,bitter,tas2r_agonists,CC(C)=CCC1=C(O)C(O)(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C1O,Ligand to Tas2 Receptor
lactucopicrin,CC1=C2C(C3C(C(C1)OC(=O)CC4=CC=C(C=C4)O)C(=C)C(=O)O3)C(=CC2=O)CO,UMVSOHBRAQTGQI-XGARDCMYSA-N,65725-11-3,bitter,tas2r_agonists,C=C1C(=O)OC2C3C(CO)=CC(=O)C3=C(C)CC(OC(=O)Cc3ccc(O)cc3)C12,Ligand to Tas2 Receptor
Limonin,CC1(C2CC(=O)C3(C(C24COC(=O)CC4O1)CCC5(C36C(O6)C(=O)OC5C7=COC=C7)C)C)C,KBDSLGBFQAGHBE-MSGMIQHVSA-N,1180-71-8,bitter,tas2r_agonists,CC1(C)OC2CC(=O)OCC23C1CC(=O)C1(C)C3CCC2(C)C(c3ccoc3)OC(=O)C3OC321,Ligand to Tas2 Receptor
L-Trp; L-Tryptophan,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,QIVBCDIJIAJPQS-VIFPVBQESA-N,73-22-3,bitter,tas2r_agonists,NC(Cc1c[nH]c2ccccc12)C(=O)O,Ligand to Tas2 Receptor
Magnesium chloride; MgCl2,[Mg+2].[Cl-].[Cl-],TWRXJAOTZQYOKJ-UHFFFAOYSA-L,7786-30-3,bitter,tas2r_agonists,[Cl-].[Cl-].[Mg+2],Ligand to Tas2 Receptor
Pantothenic acid,CC(C)(CO)C(C(=O)NCCC(=O)O)O,GHOKWGTUZJEAQD-ZETCQYMHSA-N,79-83-4,bitter,tas2r_agonists,CC(C)(CO)C(O)C(=O)NCCC(=O)O,Ligand to Tas2 Receptor
Phenylethyl isothiocyanate; PEITC,C1=CC=C(C=C1)CCN=C=S,IZJDOKYDEWTZSO-UHFFFAOYSA-N,2257 09 2,bitter,tas2r_agonists,S=C=NCCc1ccccc1,Ligand to Tas2 Receptor
Procyanidin B1,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,XFZJEEAOWLFHDH-UKWJTHFESA-N,20315-25-7,bitter,tas2r_agonists,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,Ligand to Tas2 Receptor
Procyanidin B2g,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,XFZJEEAOWLFHDH-DAIQQCIXSA-N,29106-49-8,bitter,tas2r_agonists,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,Ligand to Tas2 Receptor
Procyanidin B4,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,XFZJEEAOWLFHDH-VUGKQVTMSA-N,29106-51-2,bitter,tas2r_agonists,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc(O)c2c1OC(c1ccc(O)c(O)c1)C(O)C2,Ligand to Tas2 Receptor
Procyanidin B7,C1C(C(OC2=C1C(=C(C(=C2)O)C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)C6=CC(=C(C=C6)O)O)O,GMISZFQPFDAPGI-PWFSPABBSA-N,12798-59-3,bitter,tas2r_agonists,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2c1c(O)cc2c(c1O)CC(O)C(c1ccc(O)c(O)c1)O2,Ligand to Tas2 Receptor
Protocatechuic acid,C1=CC(=C(C=C1C(=O)O)O)O,YQUVCSBJEUQKSH-UHFFFAOYSA-N,99-50-3,bitter,tas2r_agonists,O=C(O)c1ccc(O)c(O)c1,Ligand to Tas2 Receptor
Punicalagin,C1C2C(C3C(C(O2)O)OC(=O)C4=CC(=C(C(=C4C5=C(C(=C(C=C5C(=O)O3)O)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6C7=C(C(=C8C9=C7C(=O)OC2=C(C(=C(C3=C(C(=C(C=C3C(=O)O1)O)O)O)C(=C92)C(=O)O8)O)O)O)O)O)O)O,ZJVUMAFASBFUBG-UYMKNUMKSA-N,65995-63-3,bitter,tas2r_agonists,O=C1OC2C(O)OC3COC(=O)c4cc(O)c(O)c(O)c4-c4c(O)c(O)c5oc(=O)c6c(c(O)c(O)c7oc(=O)c4c5c76)-c4c(cc(O)c(O)c4O)C(=O)OC3C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O,Ligand to Tas2 Receptor
Pyrocatechin,C1=CC=C(C(=C1)O)O,YCIMNLLNPGFGHC-UHFFFAOYSA-N,120-80-9,bitter,tas2r_agonists,Oc1ccccc1O,Ligand to Tas2 Receptor
Quinine,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,LOUPRKONTZGTKE-WZBLMQSHSA-N,130-95-0,bitter,tas2r_agonists,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,Ligand to Tas2 Receptor
Rebaudioside A,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)OC6C(C(C(C(O6)CO)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)(C)C(=O)OC8C(C(C(C(O8)CO)O)O)O,HELXLJCILKEWJH-NCGAPWICSA-N,	58543-16-1,bitter,tas2r_agonists,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(CO)C(O)C(O)C1O)C3,Ligand to Tas2 Receptor
Resveratrol,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,LUKBXSAWLPMMSZ-OWOJBTEDSA-N,501-36-0,bitter,tas2r_agonists,Oc1ccc(C=Cc2cc(O)cc(O)c2)cc1,Ligand to Tas2 Receptor
D-Salicin,C1=CC=C(C(=C1)CO)OC2C(C(C(C(O2)CO)O)O)O,NGFMICBWJRZIBI-UJPOAAIJSA-N,138-52-3,bitter,tas2r_agonists,OCc1ccccc1OC1OC(CO)C(O)C(O)C1O,Ligand to Tas2 Receptor
Salicylic acid,C1=CC=C(C(=C1)C(=O)O)O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,69-72-7,bitter,tas2r_agonists,O=C(O)c1ccccc1O,Ligand to Tas2 Receptor
Sinigrin,C=CCC(=NOS(=O)(=O)[O-])SC1C(C(C(C(O1)CO)O)O)O.[K+],QKFAFSGJTMHRRY-OCFLFPRFSA-M,534-69-0,bitter,tas2r_agonists,C=CCC(=NOS(=O)(=O)[O-])SC1OC(CO)C(O)C(O)C1O.[K+],Ligand to Tas2 Receptor
Sodium benzoate ,C1=CC=C(C=C1)C(=O)[O-].[Na+],WXMKPNITSTVMEF-UHFFFAOYSA-M,532-32-1,bitter,tas2r_agonists,O=C([O-])c1ccccc1.[Na+],Ligand to Tas2 Receptor
Stevioside,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)(C)C(=O)OC7C(C(C(C(O7)CO)O)O)O,UEDUENGHJMELGK-HYDKPPNVSA-N,57817-89-7,bitter,tas2r_agonists,C=C1CC23CCC4C(C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,Ligand to Tas2 Receptor
Theobromine,CN1C=NC2=C1C(=O)NC(=O)N2C,YAPQBXQYLJRXSA-UHFFFAOYSA-N,83-67-0,bitter,tas2r_agonists,Cn1cnc2c1c(=O)[nH]c(=O)n2C,Ligand to Tas2 Receptor
Thiamine; Vitamine B1,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,JZRWCGZRTZMZEH-UHFFFAOYSA-N,70-16-6,bitter,tas2r_agonists,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,Ligand to Tas2 Receptor
Umbelliferone,C1=CC(=CC2=C1C=CC(=O)O2)O,ORHBXUUXSCNDEV-UHFFFAOYSA-N,93-35-6,bitter,tas2r_agonists,O=c1ccc2ccc(O)cc2o1,Ligand to Tas2 Receptor
Vanillic acid,COC1=C(C=CC(=C1)C(=O)O)O,WKOLLVMJNQIZCI-UHFFFAOYSA-N,121-34-6,bitter,tas2r_agonists,COc1cc(C(=O)O)ccc1O,Ligand to Tas2 Receptor
Vescalagin,C1C2C(C3C4C(C5=C(C(=C(C(=C5C(=O)O4)C6=C(C(=C(C(=C6C(=O)O3)C7=C(C(=C(C=C7C(=O)O2)O)O)O)O)O)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8C9=C(C(=C(C=C9C(=O)O1)O)O)O)O)O)O,UDYKDZHZAKSYCO-UHFFFAOYSA-N,24312-00-3,bitter,tas2r_agonists,O=C1OCC2OC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c(O)c4c3C(=O)OC(C2OC(=O)c2cc(O)c(O)c(O)c2-c2c1cc(O)c(O)c2O)C1OC(=O)c2c-4c(O)c(O)c(O)c2C1O,Ligand to Tas2 Receptor
α-Santonin (-)-Form; Santonin,CC1C2CCC3(C=CC(=O)C(=C3C2OC1=O)C)C,XJHDMGJURBVLLE-BOCCBSBMSA-N,481-06-1,bitter,tas2r_agonists,CC1=C2C3OC(=O)C(C)C3CCC2(C)C=CC1=O,Ligand to Tas2 Receptor
L-Alanine,CC(C(=O)O)N,QNAYBMKLOCPYGJ-REOHCLBHSA-N,56-41-7 ,bitter,tas2r_agonists,CC(N)C(=O)O,Ligand to Tas2 Receptor
L-Histidine,C1=C(NC=N1)CC(C(=O)O)N,HNDVDQJCIGZPNO-YFKPBYRVSA-N,71-00-1,bitter,tas2r_agonists,NC(Cc1cnc[nH]1)C(=O)O,Ligand to Tas2 Receptor
Adhumulone,CCC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,LDXMPKMQIKGJFN-UHFFFAOYSA-N,31769-65-0,bitter,tas2r_agonists,CCC(C)C(=O)C1=C(O)C(CC=C(C)C)=C(O)C(O)(CC=C(C)C)C1=O,Ligand to Tas2 Receptor
Adlupulone,CCC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,QXPOWGXRDUFAQW-UHFFFAOYSA-N,31769-60-5,bitter,tas2r_agonists,CCC(C)C(=O)C1=C(O)C(CC=C(C)C)=C(O)C(CC=C(C)C)(CC=C(C)C)C1=O,Ligand to Tas2 Receptor
Herbolide A,CC1C2CC(C(=CCCC(=CC2OC1=O)C)C)OC(=O)C,ALAJEHHXYIGXNY-ZDZYRWLBSA-N,64562-23-8,bitter,tas2r_agonists,CC(=O)OC1CC2C(C=C(C)CCC=C1C)OC(=O)C2C,Ligand to Tas2 Receptor
Herbolide D,CC1C2CC(C(=C)CCC(C(=CC2OC1=O)C)O)O,VROLYSQPOBJAOX-XBYDQYMBSA-N,,bitter,tas2r_agonists,C=C1CCC(O)C(C)=CC2OC(=O)C(C)C2CC1O,Ligand to Tas2 Receptor
L-phenylalanine; L-Phe,C1=CC=C(C=C1)CC(C(=O)O)N,COLNVLDHVKWLRT-QMMMGPOBSA-N,63-91-2,bitter,tas2r_agonists,NC(Cc1ccccc1)C(=O)O,Ligand to Tas2 Receptor
Leu-Val-Tyr-Pro-Phe-Pro-Gly-Pro-Ile-His-Asn,CCC(C)C(C(=O)NC(CC1=CN=CN1)C(=O)NC(CC(=O)N)C(=O)O)NC(=O)C2CCCN2C(=O)CNC(=O)C3CCCN3C(=O)C(CC4=CC=CC=C4)NC(=O)C5CCCN5C(=O)C(CC6=CC=C(C=C6)O)NC(=O)C(C(C)C)NC(=O)C(CC(C)C)N,GQLLYOVQTZKCLF-LVEINZFUSA-N,,bitter,tas2r_agonists,CCC(C)C(NC(=O)C1CCCN1C(=O)CNC(=O)C1CCCN1C(=O)C(Cc1ccccc1)NC(=O)C1CCCN1C(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)C(N)CC(C)C)C(C)C)C(=O)NC(Cc1cnc[nH]1)C(=O)NC(CC(N)=O)C(=O)O,Ligand to Tas2 Receptor
Cohumulone,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)O)O)CC=C(C)C)O,DRSITEVYZGOOQG-UHFFFAOYSA-N,511-25-1,bitter,tas2r_agonists,CC(C)=CCC1=C(O)C(O)(CC=C(C)C)C(=O)C(C(=O)C(C)C)=C1O,Ligand to Tas2 Receptor
Colupulone,CC(C)C(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,UNCDMWKTFLUPHZ-UHFFFAOYSA-N,468-27-9,bitter,tas2r_agonists,CC(C)=CCC1=C(O)C(CC=C(C)C)(CC=C(C)C)C(=O)C(C(=O)C(C)C)=C1O,Ligand to Tas2 Receptor
cis-isoadhumulone,[H][C@@]1(C/C=C(C)\C)C(=O)/C(C(=O)[C@@H](C)CC)=C(O)\[C@@]1(O)C(=O)C/C=C(C)\C,QHRQNLXYMFCGPB-ZSDSOXJFSA-N,1534-03-8,bitter,tas2r_agonists,CC[C@H](C)C(=O)C1=C(O)[C@@](O)(C(=O)CC=C(C)C)[C@H](CC=C(C)C)C1=O,Ligand to Tas2 Receptor
trans-isoadhumulone,[H][C@@]1(C/C=C(C)\C)C(=O)/C(C(=O)[C@@H](C)CC)=C(O)\[C@]1(O)C(=O)C/C=C(C)\C,QHRQNLXYMFCGPB-PDSXEYIOSA-N,68107-76-6,bitter,tas2r_agonists,CC[C@H](C)C(=O)C1=C(O)[C@](O)(C(=O)CC=C(C)C)[C@H](CC=C(C)C)C1=O,Ligand to Tas2 Receptor
cis-isocohumulone,CC(C)C(=O)C1=C(C(C(C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,KKXFYHZSOIALRM-VLIAUNLRSA-N,68127-23-1,bitter,tas2r_agonists,CC(C)=CCC(=O)C1(O)C(O)=C(C(=O)C(C)C)C(=O)C1CC=C(C)C,Ligand to Tas2 Receptor
trans-isocohumulone,CC(C)C(=O)C1=C(C(C(C1=O)CC=C(C)C)(C(=O)CC=C(C)C)O)O,KKXFYHZSOIALRM-XOBRGWDASA-N,58501-77-2,bitter,tas2r_agonists,CC(C)=CCC(=O)C1(O)C(O)=C(C(=O)C(C)C)C(=O)C1CC=C(C)C,Ligand to Tas2 Receptor
Isoxanthohumol,CC(=CCC1=C2C(=C(C=C1O)OC)C(=O)CC(O2)C3=CC=C(C=C3)O)C,YKGCBLWILMDSAV-UHFFFAOYSA-N, 521-48-2 ,bitter,tas2r_agonists,COc1cc(O)c(CC=C(C)C)c2c1C(=O)CC(c1ccc(O)cc1)O2,Ligand to Tas2 Receptor
Lupulone,CC(C)CC(=O)C1=C(C(=C(C(C1=O)(CC=C(C)C)CC=C(C)C)O)CC=C(C)C)O,LSDULPZJLTZEFD-UHFFFAOYSA-N,468-28-0,bitter,tas2r_agonists,CC(C)=CCC1=C(O)C(CC=C(C)C)(CC=C(C)C)C(=O)C(C(=O)CC(C)C)=C1O,Ligand to Tas2 Receptor
cis-isohumulone,[H][C@@]1(C/C=C(C)\C)C(=O)/C(C(=O)CC(C)C)=C(O)\[C@@]1(O)C(=O)C/C=C(C)\C,QARXXMMQVDCYGZ-VFNWGFHPSA-N,1534-03-8,bitter,tas2r_agonists,CC(C)=CCC(=O)[C@]1(O)C(O)=C(C(=O)CC(C)C)C(=O)[C@H]1CC=C(C)C,Ligand to Tas2 Receptor
trans-isohumulone,[H][C@@]1(C/C=C(C)\C)C(=O)/C(C(=O)CC(C)C)=C(O)\[C@]1(O)C(=O)C/C=C(C)\C,QARXXMMQVDCYGZ-QVKFZJNVSA-N,467-72-1,bitter,tas2r_agonists,CC(C)=CCC(=O)[C@@]1(O)C(O)=C(C(=O)CC(C)C)C(=O)[C@H]1CC=C(C)C,Ligand to Tas2 Receptor
Xanthohumol,CC(=CCC1=C(C(=C(C=C1O)OC)C(=O)C=CC2=CC=C(C=C2)O)O)C,ORXQGKIUCDPEAJ-YRNVUSSQSA-N,6754-58-1 ,bitter,tas2r_agonists,COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)C=Cc1ccc(O)cc1,Ligand to Tas2 Receptor
8-Prenylnaringenin,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)CC(O2)C3=CC=C(C=C3)O)C,LPEPZZAVFJPLNZ-SFHVURJKSA-N,68682-02-0 ,bitter,tas2r_agonists,CC(C)=CCc1c(O)cc(O)c2c1OC(c1ccc(O)cc1)CC2=O,Ligand to Tas2 Receptor
Steviolbioside,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)(C)C(=O)O,OMHUCGDTACNQEX-OSHKXICASA-N,41093-60-1,bitter,tas2r_agonists,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,Ligand to Tas2 Receptor
Rebaudioside B,CC12CCCC(C1CCC34C2CCC(C3)(C(=C)C4)OC5C(C(C(C(O5)CO)O)OC6C(C(C(C(O6)CO)O)O)O)OC7C(C(C(C(O7)CO)O)O)O)(C)C(=O)O,DRSKVOAJKLUMCL-MMUIXFKXSA-N,58543-17-2,bitter,tas2r_agonists,C=C1CC23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(OC1OC(CO)C(O)C(OC2OC(CO)C(O)C(O)C2O)C1OC1OC(CO)C(O)C(O)C1O)C3,Ligand to Tas2 Receptor
