unique_ID,SMILES,InChI,pka_type,pka_value,T,remarks,method,assessment,ref,ref_remarks,entry_remarks,original_IUPAC_names,name_contributors,num_name_contributors,original_IUPAC_nicknames,source,pressure,acidity_label,original_T,solvent,temperature,Canonicalized SMILES,Canonicalized Taste,Source,Original Labels
perrin1076,O=C(O)c1cccnc1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",pKa1,4.83,24,C=0.04,E3bg,Approximate,J3,,,"pyridine, 3-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,24+1,,24.0,O=C(O)c1cccnc1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1076,O=C(O)c1cccnc1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",pKa1,4.82,25,"I=0.03, acetate buffers",O5,Approximate,E32,,,"pyridine, 3-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,25.0,O=C(O)c1cccnc1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1076,O=C(O)c1cccnc1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",pKa1,4.81,22,C between 0.05 and 0.1,E3bg,Approximate,G48,,,"pyridine, 3-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,22.0,O=C(O)c1cccnc1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1076,O=C(O)c1cccnc1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",pKa1,4.95,22,"C~4x10-4, I=0.01 photographic",O5,Uncertain,H62,,,"pyridine, 3-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,22+2,,22.0,O=C(O)c1cccnc1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1076,O=C(O)c1cccnc1,"InChI=1S/C6H5NO2/c8-6(9)5-2-1-3-7-4-5/h1-4H,(H,8,9)",pKa1,4.73,25,"C~4x10-4, I=0.01 photographic",E,,L63,,,"pyridine, 3-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,25.0,O=C(O)c1cccnc1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1077,O=C(O)c1ccncc1,"InChI=1S/C6H5NO2/c8-6(9)5-1-3-7-4-2-5/h1-4H,(H,8,9)",pKa1,4.96,24,C=0.04,E3bg,Approximate,J3,,,"pyridine, 4-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,24+1,,24.0,O=C(O)c1ccncc1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1077,O=C(O)c1ccncc1,"InChI=1S/C6H5NO2/c8-6(9)5-1-3-7-4-2-5/h1-4H,(H,8,9)",pKa1,4.84,25,"I=0.015, HCl + acetate buffers",O5,Approximate,E32,,,"pyridine, 4-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,25.0,O=C(O)c1ccncc1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1077,O=C(O)c1ccncc1,"InChI=1S/C6H5NO2/c8-6(9)5-1-3-7-4-2-5/h1-4H,(H,8,9)",pKa1,4.86,22,C between 0.03 and 0.05,E3bg,Approximate,G48,,,"pyridine, 4-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,22.0,O=C(O)c1ccncc1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1077,O=C(O)c1ccncc1,"InChI=1S/C6H5NO2/c8-6(9)5-1-3-7-4-2-5/h1-4H,(H,8,9)",pKa1,4.95,20,"I=0.01 (K2), C=10-4 to 5x10-4",O5,Approximate,J6,,,"pyridine, 4-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,20+2,,20.0,O=C(O)c1ccncc1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1077,O=C(O)c1ccncc1,"InChI=1S/C6H5NO2/c8-6(9)5-1-3-7-4-2-5/h1-4H,(H,8,9)",pKa1,4.89,25,"I=0.01 (K2), C=10-4 to 5x10-4",E,,L63,,,"pyridine, 4-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,25.0,O=C(O)c1ccncc1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1078,Cn1cc(C(=O)O)ccc1=O,"InChI=1S/C7H7NO3/c1-8-4-5(7(10)11)2-3-6(8)9/h2-4H,1H3,(H,10,11)",pKa1,3.86,20,C=0.005,E3bg,Approximate,A22,,,"pyridine, 3-carboxy-1,6-dihydro-1-methyl-6-oxo-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,20 (assumed),,20.0,Cn1cc(C(=O)O)ccc1=O,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1079,Cc1cccc(C(=O)O)n1,"InChI=1S/C7H7NO2/c1-5-3-2-4-6(8-5)7(9)10/h2-4H,1H3,(H,9,10)",pKa1,5.83,25,"C=0.001, I=0.02",E3b,Approximate,H54,,,"pyridine, 2-carboxy-6-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,25.0,Cc1cccc(C(=O)O)n1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1109,Oc1ccnc(O)c1,"InChI=1S/C5H5NO2/c7-4-1-2-6-5(8)3-4/h1-3H,(H2,6,7,8)",pKa1,6.545,20,C=0.02,E3bg,Approximate,A50,,,"pyridine, 2,4-dihydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Oc1ccnc(O)c1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1151,O=Cc1ncccc1O,"InChI=1S/C6H5NO2/c8-4-5-6(9)2-1-3-7-5/h1-4,9H",pKa1,6.95,20,"C=10-4, I=0.2(KNO3), ""mixed"" constants",O5,Approximate,N3,,,"pyridine, 2-formyl-3-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,O=Cc1ncccc1O,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1152,O=Cc1ccncc1O,"InChI=1S/C6H5NO2/c8-4-5-1-2-7-3-6(5)9/h1-4,9H",pKa1,6.77,20,"C=10-4, I=0.2(KNO3), ""mixed"" constants",O5,Approximate,N3,,,"pyridine, 4-formyl-3-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,O=Cc1ccncc1O,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1158,NNC(=O)c1ccncc1,"InChI=1S/C6H7N3O/c7-9-6(10)5-1-3-8-4-2-5/h1-4H,7H2,(H,9,10)",pKa1,3.52,20,C=0.002,E3bg,Approximate,A16,,,"pyridine, 4-hydrazinocarbonyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,NNC(=O)c1ccncc1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1158,NNC(=O)c1ccncc1,"InChI=1S/C6H7N3O/c7-9-6(10)5-1-3-8-4-2-5/h1-4H,7H2,(H,9,10)",pKa1,3.61,21,Conductometric titration of 0.01M solution,C1,Approximate,F5,,,"pyridine, 4-hydrazinocarbonyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,21.0,NNC(=O)c1ccncc1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1316,[O-][n+]1ccccc1O,"InChI=1S/C5H5NO2/c7-5-3-1-2-4-6(5)8/h1-4,7H",pKa1,5.97,20,C=0.01,E3bg,Approximate,A52,,,"pyridine, 1-oxide, 2-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,[O-][n+]1ccccc1O,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1318,[O-][n+]1ccccc1S,"InChI=1S/C5H5NOS/c7-6-4-2-1-3-5(6)8/h1-4,8H",pKa1,4.58,20,,E3bg,Approximate,A52,,,"pyridine, 1-oxide, 2-mercapto-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,20 (assumed),,20.0,[O-][n+]1ccccc1S,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1489,Cc1nc(N)c(C(=O)O)nc1C,"InChI=1S/C7H9N3O2/c1-3-4(2)10-6(8)5(9-3)7(11)12/h1-2H3,(H2,8,10)(H,11,12)",pKa1,4.48,20,C=0.005,E3bg,Approximate,B122,,,"pyrazine, 2-amino-3-carboxy-5,6-dimethyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Cc1nc(N)c(C(=O)O)nc1C,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1506,Sc1cnccn1,"InChI=1S/C4H4N2S/c7-4-3-5-1-2-6-4/h1-3H,(H,6,7)",pKa1,6.34,20,C=0.005,E3bg,Approximate,A29,,,"pyrazine, 2-mercapto-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Sc1cnccn1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1543,Oc1ccc(O)nn1,"InChI=1S/C4H4N2O2/c7-3-1-2-4(8)6-5-3/h1-2H,(H,5,7)(H,6,8)",pKa1,5.71,20,C=0.02,E3bg,Approximate,A50,,,"pyridazine, 3,6-dihydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,20 (assumed),,20.0,Oc1ccc(O)nn1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1558,Sc1ccnnc1,"InChI=1S/C4H4N2S/c7-4-1-2-5-6-3-4/h1-3H,(H,5,7)",pKa1,6.55,20,C=0.001,E3bg,Approximate,A29,,,"pyridazine, 4-mercapto-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Sc1ccnnc1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1580,Nc1c(NCC(=O)O)nc(Cl)nc1C(=O)O,"InChI=1S/C7H7ClN4O4/c8-7-11-4(6(15)16)3(9)5(12-7)10-1-2(13)14/h1,9H2,(H,13,14)(H,15,16)(H,10,11,12)",pKa1,4.48,25,C=0.004,E3bg,Uncertain,C36,,,"pyrimidine, 5-amino-4-carboxy-6-carboxymethylamino-2-chloro-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,Room,,25.0,Nc1c(NCC(=O)O)nc(Cl)nc1C(=O)O,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1584,Nc1ncncc1NCC(=O)O,"InChI=1S/C6H8N4O2/c7-6-4(1-8-3-10-6)9-2-5(11)12/h1,3,9H,2H2,(H,11,12)(H2,7,8,10)",pKa1,6.7,20,C=0.01,E3bg,Approximate,A32,,,"pyrimidine, 4-amino-5-carboxymethylamino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Nc1ncncc1NCC(=O)O,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1585,Nc1cncnc1NCC(=O)O,"InChI=1S/C6H8N4O2/c7-4-1-8-3-10-6(4)9-2-5(11)12/h1,3H,2,7H2,(H,11,12)(H,8,9,10)",pKa1,6.59,20,C=0.03,E3bg,Approximate,A19,,,"pyrimidine, 5-amino-4-carboxymethylamino-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Nc1cncnc1NCC(=O)O,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1743,Oc1cncnc1,"InChI=1S/C4H4N2O/c7-4-1-5-3-6-2-4/h1-3,7H",pKa1,6.8,20,C=0.004,E3bg,Approximate,M29,,,"pyrimidine, 5-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Oc1cncnc1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1752,Sc1ccncn1,"InChI=1S/C4H4N2S/c7-4-1-2-5-3-6-4/h1-3H,(H,5,6,7)",pKa1,6.94,20,C=10-4,O5,Approximate,A29,,,"pyrimidine, 4-mercapto-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Sc1ccncn1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1860,Nc1nnn[nH]1,"InChI=1S/CH3N5/c2-1-3-5-6-4-1/h(H3,2,3,4,5,6)",pKa1,6.07,20,C=0.013,E3bg,Approximate,A39,,,"tetrazole, 5-amino-",['manual_inconsistent'],1,,perrin,,A,,,20.0,Nc1nnn[nH]1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1950,O=C(O)c1ccc2ccccc2n1,"InChI=1S/C10H7NO2/c12-10(13)9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,(H,12,13)",pKa1,4.98,25,"C=0.001, I=0.02",E3b,Approximate,H54,,,"quinoline, 2-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,25.0,O=C(O)c1ccc2ccccc2n1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1950,O=C(O)c1ccc2ccccc2n1,"InChI=1S/C10H7NO2/c12-10(13)9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,(H,12,13)",pKa1,4.87,20,"C=0.03, I=0.055",E3bg,Approximate,W18,,,"quinoline, 2-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,O=C(O)c1ccc2ccccc2n1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1950,O=C(O)c1ccc2ccccc2n1,"InChI=1S/C10H7NO2/c12-10(13)9-6-5-7-3-1-2-4-8(7)11-9/h1-6H,(H,12,13)",pKa1,4.97,25,No details,,Probably approximate,L65,,,"quinoline, 2-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,25.0,O=C(O)c1ccc2ccccc2n1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1951,O=C(O)c1ccc2ncccc2c1,"InChI=1S/C10H7NO2/c12-10(13)8-3-4-9-7(6-8)2-1-5-11-9/h1-6H,(H,12,13)",pKa1,4.82,25,No details,,Probably approximate,L65,,,"quinoline, 6-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,25.0,O=C(O)c1ccc2ncccc2c1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1952,O=C(O)c1cccc2cccnc12,"InChI=1S/C10H7NO2/c12-10(13)8-5-1-3-7-4-2-6-11-9(7)8/h1-6H,(H,12,13)",pKa1,6.77,25,"C=0.001, I=0.02",E3b,Approximate,H54,,,"quinoline, 8-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,25.0,O=C(O)c1cccc2cccnc12,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1952,O=C(O)c1cccc2cccnc12,"InChI=1S/C10H7NO2/c12-10(13)8-5-1-3-7-4-2-6-11-9(7)8/h1-6H,(H,12,13)",pKa1,6.87,25,I=0.01 to 0.5,,,L62,,,"quinoline, 8-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,25.0,O=C(O)c1cccc2cccnc12,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin1993,Oc1cc(O)c2ccccc2n1,"InChI=1S/C9H7NO2/c11-8-5-9(12)10-7-4-2-1-3-6(7)8/h1-5H,(H2,10,11,12)",pKa1,5.9,20,"C=10-4, buffer concn. 0.01M",O5,Approximate,A50,,,"quinoline, 2,4-dihydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Oc1cc(O)c2ccccc2n1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin2016,O=S(=O)(O)c1cc(I)c(O)c2ncccc12,"InChI=1S/C9H6INO4S/c10-6-4-7(16(13,14)15)5-2-1-3-11-8(5)9(6)12/h1-4,12H,(H,13,14,15)",pKa1,2.514,25,I=0.009 to 1.2,"E3bg, R4",Approximate,N10,,,"quinoline, 8-hydroxy-7-iodo-5-sulpho-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,25.0,O=S(=O)(O)c1cc(I)c(O)c2ncccc12,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin2025,O=[N+]([O-])c1cc(S(=O)(=O)O)c2cccnc2c1O,"InChI=1S/C9H6N2O6S/c12-9-6(11(13)14)4-7(18(15,16)17)5-2-1-3-10-8(5)9/h1-4,12H,(H,15,16,17)",pKa1,5.75,25,,"E, g",,N13,,,"quinoline, 8-hydroxy-7-nitro-5-sulpho-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,25.0,O=[N+]([O-])c1cc(S(=O)(=O)O)c2cccnc2c1O,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin2038,Sc1cnc2ccccc2c1,"InChI=1S/C9H7NS/c11-8-5-7-3-1-2-4-9(7)10-6-8/h1-6,11H",pKa1,6.17,20,C=2.5x10-5,O5,Approximate,A28,,,"quinoline, 3-mercapto-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Sc1cnc2ccccc2c1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin2040,Sc1cccc2ncccc12,"InChI=1S/C9H7NS/c11-9-5-1-4-8-7(9)3-2-6-10-8/h1-6,11H",pKa1,6.52,20,C=2.5x10-5,O5,Approximate,A28,,,"quinoline, 5-mercapto-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Sc1cccc2ncccc12,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin2041,Sc1ccc2ncccc2c1,"InChI=1S/C9H7NS/c11-8-3-4-9-7(6-8)2-1-5-10-9/h1-6,11H",pKa1,6.5,20,C=2.5x10-5,O5,Uncertain,A28,,,"quinoline, 6-mercapto-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Sc1ccc2ncccc2c1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin2086,[O-][n+]1c(O)ccc2ccccc21,"InChI=1S/C9H7NO2/c11-9-6-5-7-3-1-2-4-8(7)10(9)12/h1-6,11H",pKa1,6.89,20,,E3bg,Approximate,A52,,,"Quinoline 1-oxide, 2-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,[O-][n+]1c(O)ccc2ccccc21,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin2390,Nc1nc(O)c2nc(O)cnc2n1,"InChI=1S/C6H5N5O2/c7-6-10-4-3(5(13)11-6)9-2(12)1-8-4/h1H,(H,9,12)(H3,7,8,10,11,13)",pKa1,6.88,20,"Equilibrium pKs, partial covalent hydration",E3bg,Approximate,I3,,,"pteridine, 2-amino-4,6-dihydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Nc1nc(O)c2nc(O)cnc2n1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin2415,CCOc1nc2c(c(C(=O)O)n1)N=C(O)CN2,"InChI=1S/C9H10N4O4/c1-2-17-9-12-6(8(15)16)5-7(13-9)10-3-4(14)11-5/h2-3H2,1H3,(H,11,14)(H,15,16)(H,10,12,13)",pKa1,5.31,25,C=0.004,E3bg,Uncertain,C36,,,"pteridine, 4-carboxy-2-ethoxy-7,8-dihydro-6-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,Room,,25.0,CCOc1nc2c(c(C(=O)O)n1)N=C(O)CN2,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin2465,Oc1nc2cncnc2nc1O,"InChI=1S/C6H4N4O2/c11-5-6(12)10-4-3(9-5)1-7-2-8-4/h1-2H,(H,9,11)(H,7,8,10,12)",pKa1,6.89,20,C=0.002,E3bg,Approximate,A32,,,"pteridine, 6,7-dihydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Oc1nc2cncnc2nc1O,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin2483,Oc1cnc2ncncc2n1,"InChI=1S/C6H4N4O/c11-5-2-8-6-4(10-5)1-7-3-9-6/h1-3H,(H,10,11)",pKa1,6.7,20,C=0.002,E3bg,Uncertain,A32,,,"pteridine, 6-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Oc1cnc2ncncc2n1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin2483,Oc1cnc2ncncc2n1,"InChI=1S/C6H4N4O/c11-5-2-8-6-4(10-5)1-7-3-9-6/h1-3H,(H,10,11)",pKa1,6.45,20,"C=0.001, true pK of 6-hydroxypteridine",E3bg,Approximate,P25,,,"pteridine, 6-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Oc1cnc2ncncc2n1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin2484,Oc1cnc2cncnc2n1,"InChI=1S/C6H4N4O/c11-5-2-8-4-1-7-3-9-6(4)10-5/h1-3H,(H,7,9,10,11)",pKa1,6.43,20,C=0.005,E3bg,Approximate,A32,,,"pteridine, 7-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Oc1cnc2cncnc2n1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin2491,Cc1ncc2ncc(O)nc2n1,"InChI=1S/C7H6N4O/c1-4-8-2-5-7(10-4)11-6(12)3-9-5/h2-3H,1H3,(H,8,10,11,12)",pKa1,6.7,20,C=0.005,E3bg,Approximate,A53,,,"pteridine, 7-hydroxy-2-methyl-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Cc1ncc2ncc(O)nc2n1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin2511,Cn1c(=O)c2ncc(O)nc2n(C)c1=O,"InChI=1S/C8H8N4O3/c1-11-6-5(9-3-4(13)10-6)7(14)12(2)8(11)15/h3H,1-2H3,(H,10,13)",pKa1,3.47,20,May not be thermodynamic constant,E or O,Uncertain,P27,,,"pteridine, 1,2,3,4-tetrahydro-7-hydroxy-1,3-dimethyl-2,4-dioxo-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,Cn1c(=O)c2ncc(O)nc2n(C)c1=O,sour,IUPAC Dissocation Constants,pKa between 2 and 7
perrin2528,O=C(O)c1nc2ncncc2[nH]1,"InChI=1S/C6H4N4O2/c11-6(12)5-9-3-1-7-2-8-4(3)10-5/h1-2H,(H,11,12)(H,7,8,9,10)",pKa1,2.93,20,,E3bg,Approximate,A24,,,"purine, 8-carboxy-","['OPSIN_name1', 'chemaxon_name1']",2,,perrin,,A,,,20.0,O=C(O)c1nc2ncncc2[nH]1,sour,IUPAC Dissocation Constants,pKa between 2 and 7
