Canonicalized SMILES,Canonicalized Taste,Original Labels,Source,PubChemID,InChI,INCHIKEY
OCC1OCC(O)C1O,sweet,"Sweet, Sweetness",ChemTastesDB,104501,,
COc1ccc(C2COc3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,3063082,,
OCC1OC(OC2(CCl)OC(CO)C(Cl)C2O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
OCC1OCC(O)C(O)C1O,sweet,"Sweet, Sweetness",ChemTastesDB,446996,,
OCC1OCC(O)C(O)C1O,sweet,"Sweet, Sweetness",ChemTastesDB,64960,,
OCC1OCC(O)C(O)C1O,sweet,"Sweet, Sweetness",ChemTastesDB,445184,,
CC1C(NS(=O)(=O)[O-])C(=O)N(c2ccccc2)N1C.[Na+],sweet,"Sweet, Sweetness",ChemTastesDB,102006563,,
OCC1OC(OC2(CCl)OC(CCl)C(O)C2O)C(O)C(O)C1O,sweet,"Sweet(7); Intensely sweet, Sweetness",ChemTastesDB,*,,
OC1C(CCl)OC(O)(CCl)C1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COCC1OC(COC)(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet,"Sweet; Less sweet, Sweetness",ChemTastesDB,*,,
CSCC1OC(O)(CSC)C(O)C1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC1(C(=O)O)CCCC2c3ccccc3C(C(=O)O)C21,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(=O)C1CC=C(C=NO)CC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
NC1(C(=O)O)CCC1,sweet,"Sweet, Sweetness",ChemTastesDB,89643,,
OCC1OC(OC2(CCl)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
ON=CC1=CCCCC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
ON=CC1=CCCC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=C(O)CNC(=Nc1ccc2cn[nH]c2c1)NC1CCCCCCC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=Nc1cnc2cn[nH]c2c1)NCC(=O)O)c1ccccc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC1=CC=CCC1,sweet,"Sweet, Sweetness",ChemTastesDB,121731,,
CC1=CCCCC1,sweet,"Sweet, Sweetness",ChemTastesDB,11574,,
COCC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O,sweet,"Sweet; Very sweet, Sweetness",ChemTastesDB,*,,
CC1=C(C)CC(C(=O)O)(S(=O)(=O)c2ccccc2)C(C)C1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC1=C(C)CC(C(=O)O)(S(=O)(=O)c2ccccc2)CC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC1=CCC(C(=O)O)(S(=O)(=O)c2ccccc2)C(C)C1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC1=CCC(C(=O)O)(S(=O)(=O)c2ccccc2)CC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=C(O)c1ccccc1C(=O)c1ccc(O)c(O)c1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1c(O)cc2c(c1O)C(=O)C(O)C(c1ccc(O)c(O)c1)O2,sweet,"Sweet, Sweetness",ChemTastesDB,3515648,,
COc1c(O)cc2c(c1O)C(=O)C(OC(C)=O)C(c1ccc(O)c(O)c1)O2,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(C(=O)c2ccccc2C(=O)O)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(OCc2ccccc2C(=O)O)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(C2OC(=O)c3ccccc3O2)cc1O,sweet,"Tasteless; Sweet(2), Sweetness",ChemTastesDB,85894469,,
COc1ccc(C2Oc3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(C2OC(=O)c3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,85894472,,
COc1ccc(C2Oc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,86173339,,
COc1ccc(C2CSc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(C2CSc3cc(O)ccc3O2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,3073724,,
COc1ccc(C2CSc3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,66777452,,
COc1ccc(C2CS(=O)(=O)c3ccccc3O2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(C2SCc3c(O)cccc3S2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(C2OCc3c(O)cccc3S2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(C2CCc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,86173344,,
COc1ccc(C2SCc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,15847315,,
COc1ccc(C2Sc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,86173336,,
COc1ccc(C2Oc3ccccc3CS2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,86173333,,
COc1ccc(C2OCc3ccccc3S2)cc1S,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=C(O)c1ccccc1C(=O)c1ccc(Cl)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,66564,,
CCOc1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,10107153,,
CCc1ccc(S(=O)(=O)C(C(=O)O)C(C)C)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,15130543,,
O=C(O)c1ccccc1C(=O)c1ccc(O)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,6814,,
COc1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,231963,,
COc1ccc(S(=O)c2ccccc2C(=O)O)cc1,sweet,"Sweet , Sweetness",ChemTastesDB,2824899,,
Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,66563,,
Cc1ccc(S(=O)(=O)C(C(=O)O)C(C)C)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,15130538,,
CCC(C)C(C(=O)O)S(=O)(=O)c1ccccc1,sweet,"Sweet, Sweetness",ChemTastesDB,21963783,,
CC1(C)CC1(C(=O)O)S(=O)(=O)c1ccc(O)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC1(C)CC1(C(=O)O)S(=O)(=O)c1ccc(O)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CCOc1ccc(CCC(=O)c2ccccc2O)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(CCC(=O)c2ccccc2O)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(CCC(=O)c2c(O)cc(O)c(C(=O)O)c2O)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=S(=O)([O-])Nc1cc(C(F)(F)F)nc(C(F)(F)F)c1.[Na+],sweet,"Sweet, Sweetness",ChemTastesDB,102006553,,
CC(C)(OCC(=O)O)C1CC=C(C=NO)CC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=C(Oc1ccc([N+](=O)[O-])cc1)Oc1cc(C2OCc3ccccc3S2)ccc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(C2OCc3ccccc3O2)cc1OC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(C2OCc3ccccc3S2)cc1OC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=C(COc1cccc(C2OCc3ccccc3S2)c1)c1ccc([N+](=O)[O-])cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CN(C)c1ccc(C(=O)c2ccccc2C(=O)O)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,88937,,
CC(C)OC(=O)C(C)NC(=O)C(N)C(=O)O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
Nc1ccccc1C(=O)O,sweet,"Sweet, Sweetness",ChemTastesDB,227,,
O=C(O)CNC(=Nc1ccc(Cl)nc1)NC1CCCCCCC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(N=C(NCC(=O)O)NC2CCCCCCCC2)cn1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(N=C(NCC(=O)O)NC2CCCCCCC2)cn1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(N=C(NCC(=O)O)NC(c2ccccc2)c2ccco2)cn1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=C(O)C(C1CCCC1)S(=O)(=O)c1ccccc1,sweet,"Sweet, Sweetness",ChemTastesDB,82933891,,
OCC1OCC(O)C(O)C1O,sweet,"Low sweet; Sweet, Sweetness",ChemTastesDB,22858201,,
CCOc1ccc(CCc2ccccc2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(CC(=O)c2ccccc2O)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(CCCc2ccccc2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,85793562,,
COc1ccc(CSc2ccccc2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,85894463,,
COc1ccc(CCc2ccc3c(c2)OCO3)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,1233902,,
COc1ccc(CCc2ccccc2OC)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,85896574,,
COc1ccc(CCc2ccccc2C)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,59336439,,
COc1cccc(CCc2ccc(OC)c(O)c2)c1,sweet,"Sweet, Sweetness",ChemTastesDB,85896575,,
COc1ccc(CCc2cccc(C)c2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,85896600,,
CC=C(C)C,sweet,"Sweet, Sweetness",ChemTastesDB,10553,,
CC(NC(=Nc1ccc2ccccc2c1)NCC(=O)O)c1ccccc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(C)C(C)(C(=O)O)S(=O)(=O)c1ccccc1,sweet,"Sweet, Sweetness",ChemTastesDB,15130527,,
CC(C)C(C(=O)O)S(=O)(=O)c1ccccc1,sweet,"Sweet, Sweetness",ChemTastesDB,15112219,,
CCC(C(=O)O)S(=O)(=O)c1ccccc1,sweet,"Sweet, Sweetness",ChemTastesDB,15112216,,
CCOC(=O)c1ccc(NC(=S)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CCOC(=O)c1ccc(NC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=O)C(N)CC(=O)O)NC(=O)C12CC3CC(CC(C3)C1)C2,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(C2OCc3ccccc3S2)c(C=Cc2ccc([N+](=O)[O-])cc2)c1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc3c(c2)OCO3)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
NC(=O)c1c(Br)cc(Br)c(CCC(=O)O)c1Br,sweet,"Sweet, Sweetness",ChemTastesDB,3080535,,
COc1ccc(C2Cc3ccccc3CO2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(CCC(=O)c2cccc(C(=O)O)c2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(C2COc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,14981814,,
COc1ccc(C2COc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,14981814,,
COc1ccc(C2COc3ccccc3C2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,14312572,,
Nc1cc(Cl)ccc1C(=O)CC(N)C(=O)O,sweet,"Sweet, Sweetness",ChemTastesDB,9859632,,
Oc1cccc(C2OCc3ccccc3S2)c1,sweet,"Sweet, Sweetness",ChemTastesDB,45117125,,
CC(C)(C)CCNS(=O)(=O)[O-].[Na+],sweet,"Sweet, Sweetness",ChemTastesDB,*,,
Oc1ccc(C2OCc3ccccc3S2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=Nc1ccc2c(c1)OCO2)NCC(=O)O)c1ccccc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=S(=O)([O-])Nc1ncc(Br)cc1Br.[Na+],sweet,"Sweet, Sweetness",ChemTastesDB,102006551,,
CC(NC(=Nc1cc(Cl)cc(Cl)c1)NCC(=O)O)c1ccccc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NCc1ccccc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=Nc1cc(Cl)cc(Cl)c1)NCC(=O)O)C1CCCCC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NC1CCCCCCC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NCC1CCCCC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)Nc1cccc2ccccc12,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)NC1CCCCCC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CCCCC(C)NC(=Nc1cc(Cl)cc(Cl)c1)NCC(=O)O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=C(O)CNC(=Nc1cc(Cl)cc(Cl)c1)Nc1cc(Cl)cc(Cl)c1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CCOc1ccc(C2CC(=O)c3c(O)cccc3O2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(C2CC(=O)c3c(O)cccc3O2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,153122,,
CCCOc1ccc(C2CC(=O)c3c(O)cccc3O2)cc1O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CCOC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OCC,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OC,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C1CCCCC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CCOC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COC(=O)c1ccc(NC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CNS(=O)(=O)c1ccc(NC(=O)NC(CC(=O)O)C(=O)NC(Cc2ccccc2)C(=O)OC)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=S)Nc1ccc([N+](=O)[O-])cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CCCCC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OC,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CCCC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1)C(=O)OC,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COC(=O)C(CC1CCCCC1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
O=C(O)CCNC(=O)Oc1ccc([N+](=O)[O-])cc1,sweet,"Sweet, Sweetness",ChemTastesDB,141183720,,
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C(C)=O)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
NC(=O)c1ccc(NC(=O)NC(CC(=O)O)c2cccc(O)c2)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
NC(=O)c1ccc(NC(=O)NC(CC(=O)O)c2cccnc2)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=O)C(CC(=O)O)NC(=S)Nc1ccc(C#N)cc1)C(=O)NC(C1CC1)C1CC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=O)C(CC(=O)O)NC(=S)Nc1ccc(C#N)cc1)c1ccccc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(NC(=S)NC(CC(=O)O)c2ccccc2)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1)C(=O)NC(C1CC1)C1CC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc3c(c2)CCC3)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccccc2[N+](=O)[O-])cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2cccc(O)c2)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1cccc(C(CC(=O)O)NC(=O)Nc2ccc(C#N)cc2)c1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2cccc([N+](=O)[O-])c2)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CCc1ccc(C(CC(=O)O)NC(=O)Nc2ccc(C#N)cc2)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc(O)cc2)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COc1ccc(C(CC(=O)O)NC(=O)Nc2ccc(C#N)cc2)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc([N+](=O)[O-])cc2)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2ccc3ccccc3c2)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2cnc3ccccc3c2)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1)C(F)(F)F,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1)c1ccccc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1)c1ccccc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CCCOC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COC(=O)C(NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(C#N)cc1)C(=O)OC1C2(C)CCC(C2)C1(C)C,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(NC(=O)NC(CC(=O)O)Cc2ccccc2)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(NC(=O)NC(CCc2ccccc2)CC(=O)O)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc(F)cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CCCOC(=O)C(C)NC(=O)C(CC(=O)O)NC(=O)Nc1ccc([N+](=O)[O-])cc1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
NC(=O)c1ccc(NC(=O)NC(CC(=O)O)c2cccnc2)cn1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
NC(=O)c1ccc(NC(=O)NC(CC(=O)O)c2ccccc2)cn1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
N#Cc1ccc(NC(=O)NC(CC(=O)O)c2cccnc2)cn1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(=O)OCC(CO)NC(=O)C(N)CC(=O)O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(=O)OCC(NC(=O)C(N)CC(=O)O)C(C)C,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CCCC(COC(C)=O)NC(=O)C(N)CC(=O)O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(=O)OCC(C)NC(=O)C(N)CC(=O)O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(=O)OCCNC(=O)C(N)CC(=O)O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COC(=O)C(COC(C)=O)NC(=O)C(N)CC(=O)O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)(C1CC1)C1CC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)(C(C)(C)C)C(C)(C)C,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)S(=O)(=O)C1(C)C,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)S(=O)C1(C)C,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)CC1(C)C,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=O)C(N)CC(=O)O)C(=O)NC1C(C)(C)CCCC1(C)C,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(COC(=O)C(C)(C)C)NC(=O)C(N)CC(=O)O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)(C(C)C)C(C)C,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=O)C(N)CC(=O)O)NC(=O)C1C(C)CCCC1C,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
COC(=O)C(NC(=O)C(N)CC(=O)O)C(=O)OC1C(C)CCCC1C,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)(C1CC1)C(C)(C)C,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CC(NC(=O)C(N)CC(=O)O)C(=O)NC(C)(C)C1CC1,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
CCC(CC)C(=O)OCC(C)NC(=O)C(N)CC(=O)O,sweet,"Sweet, Sweetness",ChemTastesDB,*,,
