Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Original Labels,Source
CC1CC(O)C(=O)C2(C)C1CC1OC(=O)CC3C(C)C(=O)C(O)C2C13C,CC1CC(O)C(=O)C2(C)C1CC1OC(=O)CC3C(C)C(=O)C(O)C2C13C,bitter,bitter,phytocompounds_db
CC(C)(C(=O)O)S(=O)(=O)c1ccccc1,CC(C)(C(=O)O)S(=O)(=O)c1ccccc1,undefined,"Non-sweet, Non-sweetness",chemtastes_db
OCC1OC(OC2OC(CO)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C(O)C(O)C1O,OCC1OC(OC2OC(CO)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C(O)C(O)C1O,sweet,sweet,flavor_db
c1ccc(N=NC(=NNc2ccccc2)c2ccccc2)cc1,c1ccc(N=NC(=NNc2ccccc2)c2ccccc2)cc1,sweet,sweet-like,flavor_db
Nc1nc(P(=O)(O)O)nc2c1ncn2C1OC(CO)C(O)C1O,Nc1nc(P(=O)(O)O)nc2c1ncn2C1OC(CO)C(O)C1O,sweet,sweet-like,flavor_db
CC(C)CC(N)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(=O)O,CC(C)CC(N)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(=O)O,sweet,sweet,flavor_db
O=C1C(O)C(CO)OC(OC2(CO)OC(CO)C(O)C2O)C1O,O=C1C(O)C(CO)OC(OC2(CO)OC(CO)C(O)C2O)C1O,sweet,"Sweet, Sweetness",chemtastes_db
C/C1=C\CC(O)/C(C)=C/C2OC(=O)C(C)C2CC1,C/C1=C\CC(O)/C(C)=C/C2OC(=O)C(C)C2CC1,bitter,bitter,phytocompounds_db
OCC1OC(O)(COC2OCC(O)C(O)C2O)C(O)C1O,OCC1OC(O)(COC2OCC(O)C(O)C2O)C(O)C1O,sweet,sweet-like,flavor_db
CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OCC(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OCC(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,sweet,sweet-like,flavor_db
COc1ccc(C(=O)c2ccccc2C(=O)O)cc1O,COc1ccc(C(=O)c2ccccc2C(=O)O)cc1O,sweet,"Sweet, Sweetness",chemtastes_db
OCC1OC(Oc2ccc3ccccc3c2)C(O)C(O)C1O,OCC1OC(Oc2ccc3ccccc3c2)C(O)C(O)C1O,bitter,"Bitter, Bitterness",chemtastes_db
NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,sweet,sweet,flavor_db
C=C1C(=O)OC2CC3(C)CCCC(C)C3=CC12,C=C1C(=O)OC2CC3(C)CCCC(C)C3=CC12,bitter,bitter,phytocompounds_db
C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,bitter,"Bitter, Bitterness",chemtastes_db
CCCC(=O)CC(=O)OCC,CCCC(=O)CC(=O)OCC,sweet,"berry, sweaty, sweet, fruity, mossy, green",flavor_db
O=C(C(O)CO)C(O)CCO,O=C(C(O)CO)C(O)CCO,sweet,sweet-like,flavor_db
CC(C)C(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,CC(C)C(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,sweet,sweet,flavor_db
CCC(C)C(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(C)C)C(=O)O,CCC(C)C(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(C)C)C(=O)O,sweet,sweet,flavor_db
CCC(C)C(N)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,CCC(C)C(N)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,sweet,sweet,flavor_db
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(F)(P(=O)(O)O)P(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(F)(P(=O)(O)O)P(=O)(O)O)C(O)C1O,sweet,sweet-like,flavor_db
CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)CN)C(=O)O,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)CN)C(=O)O,sweet,sweet,flavor_db
CC1OC(OC2C(Oc3ccc4c(=O)cc(-c5ccc(O)c(O)c5)oc4c3)OC(CO)C(O)C2O)C(O)C(O)C1O,CC1OC(OC2C(Oc3ccc4c(=O)cc(-c5ccc(O)c(O)c5)oc4c3)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet,sweet-like,flavor_db
NCC(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NCC(=O)O,NCC(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NCC(=O)O,sweet,sweet,flavor_db
CCCSC(C)=O,CCCSC(C)=O,undefined,"garlic, onion, sulfurous, green",flavor_db
OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,bitter,"Bitter, Bitterness",chemtastes_db
COc1ccc(Cc2ccccc2C(=O)O)cc1,COc1ccc(Cc2ccccc2C(=O)O)cc1,undefined,"Tasteless, Tastelessness",chemtastes_db
CC1CCC(C(C)C)C(OCCO)C1,CC1CCC(C(C)C)C(OCCO)C1,undefined,"bland, odorless",flavor_db
COCCOCCOCCOC1OC(CO)C(O)C(O)C1O,COCCOCCOCCOC1OC(CO)C(O)C(O)C1O,sweet,sweet-like,flavor_db
CCCCOC(=O)CC(C)C,CCCCOC(=O)CC(C)C,sweet,"peach, apple, pineapple, fruit, sweet, pear, green",flavor_db
CCCCCC=CC=CC(=O)NCC(C)C,CCCCCC=CC=CC(=O)NCC(C)C,undefined,"Heating, pungent, and tingling, Miscellaneous",chemtastes_db
COC1CC(OC2C(O)CC(OC3C(C)OC(O)CC3OC)OC2C)OC(C)C1O,COC1CC(OC2C(O)CC(OC3C(C)OC(O)CC3OC)OC2C)OC(C)C1O,sweet,sweet,flavor_db
COC(=O)C(CC(C)C)NC(=O)C(CC(C)(C)O)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,COC(=O)C(CC(C)C)NC(=O)C(CC(C)(C)O)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,sweet,sweet,flavor_db
CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(N)CC(=O)O)C(=O)O,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(N)CC(=O)O)C(=O)O,sweet,sweet,flavor_db
NC(CC(=O)O)C(=O)NCC(=O)NC(CS)C(=O)NC(Cc1ccccc1)C(=O)O,NC(CC(=O)O)C(=O)NCC(=O)NC(CS)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db
C1C(CC1C(=O)O)C(=O)O,O=C(O)[C@H]1C[C@@H](C(=O)O)C1,sour,pKa between 2 and 7,IUPAC Dissocation Constants
COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3o2)cc(OC)c1O,COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3o2)cc(OC)c1O,sweet,sweet-like,flavor_db
C1=CC(=C(C(=C1)[N+](=O)[O-])O)[N+](=O)[O-],O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,sour,pKa between 2 and 7,IUPAC Dissocation Constants
CC(C)=CCc1c(O)c(O)c(O)c2c1OC(C)(C)CC2=O,CC(C)=CCc1c(O)c(O)c(O)c2c1OC(C)(C)CC2=O,bitter,"Bitter, Bitterness",chemtastes_db
O=C(C=CC=CCCc1ccc2c(c1)OCO2)N1CCCCC1,O=C(C=CC=CCCc1ccc2c(c1)OCO2)N1CCCCC1,bitter,astringent; bitter; pungent,phytocompounds_db
CCCCCCCCCCCOC1C(O)C(O)OC(CO)C1O,CCCCCCCCCCCOC1C(O)C(O)OC(CO)C1O,sweet,sweet,flavor_db
CCC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)O,CCC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)O,sweet,sweet,flavor_db
COc1cc(C2Oc3cc(O)cc(OC4OC(CO)C(O)C(O)C4O)c3C(=O)C2O)ccc1O,COc1cc(C2Oc3cc(O)cc(OC4OC(CO)C(O)C(O)C4O)c3C(=O)C2O)ccc1O,sweet,sweet-like,flavor_db
CC(C)CC(N)C(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,CC(C)CC(N)C(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db
CCCCCCCCCCCCCCCCCC=O,CCCCCCCCCCCCCCCCCC=O,undefined,"oil, oily",flavor_db
NC(=O)CCC(NC(=O)C(N)CCC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,NC(=O)CCC(NC(=O)C(N)CCC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db
OCC1OC(OC2C(O)C(CO)OC2(O)CO)C(O)C(O)C1O,OCC1OC(OC2C(O)C(CO)OC2(O)CO)C(O)C(O)C1O,sweet,sweet,flavor_db
CCCCS,CCCCS,undefined,"garlic, onion, egg, sulfury, coffee",flavor_db
COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCCC(C)(C)CCCO,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCCC(C)(C)CCCO,sweet,sweet,flavor_db
CC1=CC(=O)C2CC1C2(C)C,CC1=CC(=O)C2CC1C2(C)C,undefined,"celery, menthol, camphor",flavor_db
COC(=O)NC1(C(=O)NC(Cc2ccccc2)C(=O)O)CCCCC1,COC(=O)NC1(C(=O)NC(Cc2ccccc2)C(=O)O)CCCCC1,sweet,sweet,flavor_db
CC(N)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,CC(N)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db
CC(=O)CCC1=C(C)C=CCC1(C)C,CC(=O)CCC1=C(C)C=CCC1(C)C,undefined,floral,flavor_db
O=C1CC(c2ccccc2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)c(O)c21,O=C1CC(c2ccccc2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)c(O)c21,sweet,sweet-like,flavor_db
CCCC(=O)NCCCCC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC,CCCC(=O)NCCCCC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC,sweet,sweet,flavor_db
OCC(O)C(O)C(O)C(O)COCC1OC(OC2(CO)OC(COCC(O)C(O)C(O)C(O)CO)C(O)C2O)C(O)C(O)C1O,OCC(O)C(O)C(O)C(O)COCC1OC(OC2(CO)OC(COCC(O)C(O)C(O)C(O)CO)C(O)C2O)C(O)C(O)C1O,sweet,sweet,flavor_db
NCCCNP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)CC1O,NCCCNP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)CC1O,sweet,sweet-like,flavor_db
Cc1ccc2c(c1)OC(=O)C2C,Cc1ccc2c(c1)OC(=O)C2C,undefined,coconut,flavor_db
OCC1OC(OC2C(O)C(CO)OC(OF)C2O)C(O)C(O)C1O,OCC1OC(OC2C(O)C(CO)OC(OF)C2O)C(O)C(O)C1O,sweet,sweet-like,flavor_db
COC1C(CO)OC(n2cnc3c(N)ncnc32)C1O,COC1C(CO)OC(n2cnc3c(N)ncnc32)C1O,sweet,sweet-like,flavor_db
OCC1OC(O)C(O)CC1O,OCC1OC(O)C(O)CC1O,sweet,sweet,flavor_db
COP(O)(=S)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,COP(O)(=S)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,sweet,sweet-like,flavor_db
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1OP(O)(O)=S,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1OP(O)(O)=S,sweet,sweet-like,flavor_db
COC1=CC=CC=C1[Se]CC(=O)O,COc1ccccc1[Se]CC(=O)O,sour,pKa between 2 and 7,IUPAC Dissocation Constants
CCCCCCOS(=O)(=O)OC1OC(CO)C(O)C(O)C1O,CCCCCCOS(=O)(=O)OC1OC(CO)C(O)C(O)C1O,sweet,sweet,flavor_db
CCCCCCCCOC1OC(CO)CC(O)C1O,CCCCCCCCOC1OC(CO)CC(O)C1O,sweet,sweet,flavor_db
CC(=O)OC(C)CCc1ccccc1,CC(=O)OC(C)CCc1ccccc1,undefined,"fruit, green",flavor_db
O=C(Oc1ccccc1)c1ccccc1O,O=C(Oc1ccccc1)c1ccccc1O,sweet,"sweet, fruity, balsam, mild",flavor_db
CC(C)C(NC(=O)C(CC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,CC(C)C(NC(=O)C(CC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db
C=C1C(=O)OC2C1C(OC(=O)C(C)CO)CC1(CC)COC(=O)C(=C)C21,C=C1C(=O)OC2C1C(OC(=O)C(C)CO)CC1(CC)COC(=O)C(=C)C21,bitter,bitter,phytocompounds_db
CCOC1C(COP(=O)(O)O)OC(n2cnc3c(N)ncnc32)C1O,CCOC1C(COP(=O)(O)O)OC(n2cnc3c(N)ncnc32)C1O,sweet,sweet-like,flavor_db
OCC1OC(CO)(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C1O,OCC1OC(CO)(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C1O,sweet,sweet,flavor_db
C[Si](C)OC1C(O)OC(CO)C(O)C1O,C[Si](C)OC1C(O)OC(CO)C(O)C1O,sweet,sweet,flavor_db
OC1OCC(C2OC(O)C(O)OC2C2COC(O)C(O)O2)OC1O,OC1OCC(C2OC(O)C(O)OC2C2COC(O)C(O)O2)OC1O,sweet,sweet,flavor_db
CC(C=O)=Cc1ccccc1,CC(C=O)=Cc1ccccc1,sweet,"cassia, sweet, spicy, cinnamon",flavor_db
CSCC(C=O)=Cc1ccccc1,CSCC(C=O)=Cc1ccccc1,undefined,"bean, weedy, broccoli, green",flavor_db
CCOC(C)OCC,CCOC(C)OCC,sweet,"cream, nut, tart, ether, vegetable, earthy, fruit, sweet, honey, green",flavor_db
CC1OC(OC2C(Oc3ccc(-c4cc(=O)c5c(O)cc(O)cc5o4)cc3O)OC(CO)C(O)C2O)C(O)C(O)C1O,CC1OC(OC2C(Oc3ccc(-c4cc(=O)c5c(O)cc(O)cc5o4)cc3O)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet,sweet-like,flavor_db
Nc1ncnc2c1ncn2C1OC(C(O)P(=O)(O)O)C(O)C1(O)P(=O)(O)O,Nc1ncnc2c1ncn2C1OC(C(O)P(=O)(O)O)C(O)C1(O)P(=O)(O)O,sweet,sweet-like,flavor_db
CCOC1=C(C)OC(C)C1=O,CCOC1=C(C)OC(C)C1=O,undefined,"caramellic, brandy, fruity",flavor_db
