,Canonicalized SMILES,Standardized SMILES,Canonicalized Taste,Original Labels,Source,is_multiclass
10,CCCCCC1OCC(C)O1,CCCCCC1OCC(C)O1,undefined,"vegetable skin, rue, licorice, petroleum, waxy, fresh, clean, green",flavor_db,0
11,O=C(O)c1ccc(C2CCC2)cc1,O=C(O)c1ccc(C2CCC2)cc1,sour,pKa between 2 and 7,IUPAC Dissocation Constants,0
12,C=CCSSSC,C=CCSSSC,undefined,"garlic, onion, creamy, alliaceous",flavor_db,0
13,CCCCCOCC1(O)OCC(O)C(O)C1O,CCCCCOCC1(O)OCC(O)C(O)C1O,sweet,sweet,flavor_db,0
14,CC(=O)OC1CC(C)(C(=O)O)CC2C3=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(C)(CO)C5CCC4(C)C3(C)CCC12C,CC(=O)OC1CC(C)(C(=O)O)CC2C3=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)C(C)(CO)C5CCC4(C)C3(C)CCC12C,sweet,sweet-like,flavor_db,0
15,CSc1ccc(C2CSc3ccccc3O2)cc1O,CSc1ccc(C2CSc3ccccc3O2)cc1O,undefined,"Tasteless, Tastelessness",chemtastes_db,0
16,CCC(C)C(NC(=O)C(N)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(CCCCN)C(=O)O)C(C)C,CCC(C)C(NC(=O)C(N)C(C)C)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CC(=O)O)C(=O)NC(C(=O)NC(CCCCN)C(=O)O)C(C)C,sweet,sweet,flavor_db,0
17,CCCCCCCCOC=O,CCCCCCCCOC=O,undefined,"orange, rose, waxy, fruity, cucumber",flavor_db,0
18,COC(=O)c1ccc(CCc2ccc(OC)c(O)c2)cc1,COC(=O)c1ccc(CCc2ccc(OC)c(O)c2)cc1,undefined,"Tasteless, Tastelessness",chemtastes_db,0
19,COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5OC)C(O)C(O)C4O)cc3O2)cc1OC,COc1ccc(C2CC(=O)c3c(O)cc(OC4OC(COC5OC(C)C(O)C(O)C5OC)C(O)C(O)C4O)cc3O2)cc1OC,sweet,sweet-like,flavor_db,0
20,COc1ccc(-c2coc3cc(OC4OC(COC(=O)CC(=O)O)C(O)C(O)C4O)ccc3c2=O)cc1O,COc1ccc(-c2coc3cc(OC4OC(COC(=O)CC(=O)O)C(O)C(O)C4O)ccc3c2=O)cc1O,sweet,sweet-like,flavor_db,0
21,O=C(O)C1(O)CCCCCC1,O=C(O)C1(O)CCCCCC1,sour,pKa between 2 and 7,IUPAC Dissocation Constants,0
22,O=c1o[nH]c(-c2ccccc2)c1Br,O=c1o[nH]c(-c2ccccc2)c1Br,sour,pKa between 2 and 7,IUPAC Dissocation Constants,0
23,CCCCCCOC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,CCCCCCOC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O,sweet,sweet,flavor_db,0
24,OCC(O)C(O)C(O)C1OC(O)C(O)C1O,OCC(O)C(O)C(O)C1OC(O)C(O)C1O,sweet,sweet,flavor_db,0
25,Cc1ccc(N=NC(=NNc2ccccc2)c2ccccc2)cc1,Cc1ccc(N=NC(=NNc2ccccc2)c2ccccc2)cc1,sweet,sweet-like,flavor_db,0
26,O=C(O)C1C2CCC(CC2)C1C(=O)O,O=C(O)C1C2CCC(CC2)C1C(=O)O,sour,pKa between 2 and 7,IUPAC Dissocation Constants,0
27,Oc1cncnc1,Oc1cncnc1,sour,pKa between 2 and 7,IUPAC Dissocation Constants,0
28,CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)NC(CC(=O)O)C(=O)O,CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(=O)NC(CC(=O)O)C(=O)O,sweet,sweet,flavor_db,0
29,Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1nc(F)nc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,sweet,sweet-like,flavor_db,0
30,COc1ccc(-c2coc3cc(OC4OC(CO)C(O)C(O)C4O)ccc3c2=O)cc1O,COc1ccc(-c2coc3cc(OC4OC(CO)C(O)C(O)C4O)ccc3c2=O)cc1O,sweet,sweet-like,flavor_db,0
31,OCC(O)C(O)C(O)C=[Se],OCC(O)C(O)C(O)C=[Se],sweet,sweet,flavor_db,0
32,O=C(O)CS,O=C(O)CS,sour,pKa between 2 and 7,IUPAC Dissocation Constants,0
33,CCCCCCCCOC(=O)CCCCCCC,CCCCCCCCOC(=O)CCCCCCC,undefined,"oily, coconut, fruity",flavor_db,0
34,CCCOC(=O)c1ccccc1,CCCOC(=O)c1ccccc1,undefined,"nutty, balsam",flavor_db,0
35,CCCCCC1C(=O)CCC1CC(=O)OC,CCCCCC1C(=O)CCC1CC(=O)OC,undefined,"lactonic, jasmin, floral, oily, tropical, natural, green",flavor_db,0
36,OCCCCC(O)COC1OC(CO)C(O)C(O)C1O,OCCCCC(O)COC1OC(CO)C(O)C(O)C1O,sweet,sweet,flavor_db,0
37,COC1OC(CO)(OC)C2OC(C)(C)OC2C1O,COC1OC(CO)(OC)C2OC(C)(C)OC2C1O,sweet,sweet,flavor_db,0
38,CSCCC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,CSCCC(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db,0
39,SCS,SCS,undefined,pungent,flavor_db,0
40,CC(=O)OC1C2C(Cc3occc3C2(C)O)C2(C)C(=O)CCC(C)(C)C2(O)C1OC(C)=O,CC(=O)OC1C2C(Cc3occc3C2(C)O)C2(C)C(=O)CCC(C)(C)C2(O)C1OC(C)=O,bitter,bitter,phytocompounds_db,0
41,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)O,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)O,sweet,sweet,flavor_db,0
42,CCCCC(=O)C(CCC)Sc1ccoc1C,CCCCC(=O)C(CCC)Sc1ccoc1C,undefined,"roasted, meaty",flavor_db,0
43,CCN(CC)CCN1C(=O)c2ccccc2S1(=O)=O,CCN(CC)CCN1C(=O)c2ccccc2S1(=O)=O,bitter,"Moderately bitter, Bitterness",chemtastes_db,0
44,CC(C)CC(N)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C,CC(C)CC(N)C(=O)NC(C(=O)NC(Cc1ccccc1)C(=O)O)C(C)C,sweet,sweet,flavor_db,0
45,Nc1ncnc2c1ncn2C1CC(OP(O)(=S)S)C(CO)O1,Nc1ncnc2c1ncn2C1CC(OP(O)(=S)S)C(CO)O1,sweet,sweet-like,flavor_db,0
46,CC(=O)NC(Cc1ccccc1)C(=O)NC(CCCC[NH3+])C(=O)[O-],CC(=O)NC(Cc1ccccc1)C(=O)NC(CCCC[NH3+])C(=O)[O-],sweet,sweet,flavor_db,0
47,CC(=O)OC1CC(C)(C=O)CC2C3=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CCC12C,CC(=O)OC1CC(C)(C=O)CC2C3=CC(=O)C4C5(C)CCC(OC6OC(C(=O)O)C(O)C(O)C6OC6OC(C(=O)O)C(O)C(O)C6O)C(C)(C)C5CCC4(C)C3(C)CCC12C,sweet,sweet-like,flavor_db,0
48,CCCCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,CCCCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,sweet,sweet,flavor_db,0
49,CC1OC(OC2C(Oc3c(O)cc4oc(-c5ccccc5)cc(=O)c4c3O)OC(CO)C(O)C2O)C(O)C(O)C1O,CC1OC(OC2C(Oc3c(O)cc4oc(-c5ccccc5)cc(=O)c4c3O)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet,sweet-like,flavor_db,0
50,N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)O,N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)O,sour,pKa between 2 and 7,IUPAC Dissocation Constants,0
51,O=C(C(O)CO)C(O)C(O)C(O)CO,O=C(C(O)CO)C(O)C(O)C(O)CO,sweet,sweet,flavor_db,0
52,O=C(C=Cc1ccccc1)OCC1CCCO1,O=C(C=Cc1ccccc1)OCC1CCCO1,sweet,"sweet, cortex, balsam",flavor_db,0
53,CC1CC(O)C(=O)C2(C)C1CC1OC(=O)CC3C(C)C(=O)C(O)C2C13C,CC1CC(O)C(=O)C2(C)C1CC1OC(=O)CC3C(C)C(=O)C(O)C2C13C,bitter,bitter,phytocompounds_db,0
54,CC(C)(C(=O)O)S(=O)(=O)c1ccccc1,CC(C)(C(=O)O)S(=O)(=O)c1ccccc1,undefined,"Non-sweet, Non-sweetness",chemtastes_db,0
55,OCC1OC(OC2OC(CO)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C(O)C(O)C1O,OCC1OC(OC2OC(CO)C(O)C(OC3OC(CO)C(O)C(O)C3O)C2O)C(O)C(O)C1O,sweet,sweet,flavor_db,0
56,c1ccc(N=NC(=NNc2ccccc2)c2ccccc2)cc1,c1ccc(N=NC(=NNc2ccccc2)c2ccccc2)cc1,sweet,sweet-like,flavor_db,0
57,Nc1nc(P(=O)(O)O)nc2c1ncn2C1OC(CO)C(O)C1O,Nc1nc(P(=O)(O)O)nc2c1ncn2C1OC(CO)C(O)C1O,sweet,sweet-like,flavor_db,0
58,CC(C)CC(N)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(=O)O,CC(C)CC(N)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(C)C(=O)O,sweet,sweet,flavor_db,0
59,O=C1C(O)C(CO)OC(OC2(CO)OC(CO)C(O)C2O)C1O,O=C1C(O)C(CO)OC(OC2(CO)OC(CO)C(O)C2O)C1O,sweet,"Sweet, Sweetness",chemtastes_db,0
60,C/C1=C\CC(O)/C(C)=C/C2OC(=O)C(C)C2CC1,C/C1=C\CC(O)/C(C)=C/C2OC(=O)C(C)C2CC1,bitter,bitter,phytocompounds_db,0
61,OCC1OC(O)(COC2OCC(O)C(O)C2O)C(O)C1O,OCC1OC(O)(COC2OCC(O)C(O)C2O)C(O)C1O,sweet,sweet-like,flavor_db,0
62,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OCC(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(=O)O)C(O)C(OC7OC(CO)C(O)C(O)C7O)C6OC6OCC(O)C(O)C6O)C(C)(C)C5CCC43C)C2C1,sweet,sweet-like,flavor_db,0
63,COc1ccc(C(=O)c2ccccc2C(=O)O)cc1O,COc1ccc(C(=O)c2ccccc2C(=O)O)cc1O,sweet,"Sweet, Sweetness",chemtastes_db,0
64,OCC1OC(Oc2ccc3ccccc3c2)C(O)C(O)C1O,OCC1OC(Oc2ccc3ccccc3c2)C(O)C(O)C1O,bitter,"Bitter, Bitterness",chemtastes_db,0
65,NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)O,sweet,sweet,flavor_db,0
66,C=C1C(=O)OC2CC3(C)CCCC(C)C3=CC12,C=C1C(=O)OC2CC3(C)CCCC(C)C3=CC12,bitter,bitter,phytocompounds_db,0
67,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,C=CC1CN2CCC1CC2C(O)c1ccnc2ccccc12,bitter,"Bitter, Bitterness",chemtastes_db,0
68,CCCC(=O)CC(=O)OCC,CCCC(=O)CC(=O)OCC,sweet,"berry, sweaty, sweet, fruity, mossy, green",flavor_db,0
69,O=C(C(O)CO)C(O)CCO,O=C(C(O)CO)C(O)CCO,sweet,sweet-like,flavor_db,0
70,CC(C)C(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,CC(C)C(NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,sweet,sweet,flavor_db,0
71,CCC(C)C(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(C)C)C(=O)O,CCC(C)C(NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O)C(C)C)C(=O)O,sweet,sweet,flavor_db,0
72,CCC(C)C(N)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,CCC(C)C(N)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)O,sweet,sweet,flavor_db,0
73,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(F)(P(=O)(O)O)P(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)C(F)(P(=O)(O)O)P(=O)(O)O)C(O)C1O,sweet,sweet-like,flavor_db,0
74,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)CN)C(=O)O,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)CN)C(=O)O,sweet,sweet,flavor_db,0
75,CC1OC(OC2C(Oc3ccc4c(=O)cc(-c5ccc(O)c(O)c5)oc4c3)OC(CO)C(O)C2O)C(O)C(O)C1O,CC1OC(OC2C(Oc3ccc4c(=O)cc(-c5ccc(O)c(O)c5)oc4c3)OC(CO)C(O)C2O)C(O)C(O)C1O,sweet,sweet-like,flavor_db,0
76,NCC(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NCC(=O)O,NCC(=O)NC(Cc1ccccc1)C(=O)NC(CC(=O)O)C(=O)NCC(=O)O,sweet,sweet,flavor_db,0
77,CCCSC(C)=O,CCCSC(C)=O,undefined,"garlic, onion, sulfurous, green",flavor_db,0
78,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,bitter,"Bitter, Bitterness",chemtastes_db,0
79,COc1ccc(Cc2ccccc2C(=O)O)cc1,COc1ccc(Cc2ccccc2C(=O)O)cc1,undefined,"Tasteless, Tastelessness",chemtastes_db,0
80,CC1CCC(C(C)C)C(OCCO)C1,CC1CCC(C(C)C)C(OCCO)C1,undefined,"bland, odorless",flavor_db,0
81,COCCOCCOCCOC1OC(CO)C(O)C(O)C1O,COCCOCCOCCOC1OC(CO)C(O)C(O)C1O,sweet,sweet-like,flavor_db,0
82,CCCCOC(=O)CC(C)C,CCCCOC(=O)CC(C)C,sweet,"peach, apple, pineapple, fruit, sweet, pear, green",flavor_db,0
83,CCCCCC=CC=CC(=O)NCC(C)C,CCCCCC=CC=CC(=O)NCC(C)C,undefined,"Heating, pungent, and tingling, Miscellaneous",chemtastes_db,0
84,COC1CC(OC2C(O)CC(OC3C(C)OC(O)CC3OC)OC2C)OC(C)C1O,COC1CC(OC2C(O)CC(OC3C(C)OC(O)CC3OC)OC2C)OC(C)C1O,sweet,sweet,flavor_db,0
85,COC(=O)C(CC(C)C)NC(=O)C(CC(C)(C)O)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,COC(=O)C(CC(C)C)NC(=O)C(CC(C)(C)O)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C,sweet,sweet,flavor_db,0
86,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(N)CC(=O)O)C(=O)O,CC(NC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(N)CC(=O)O)C(=O)O,sweet,sweet,flavor_db,0
87,NC(CC(=O)O)C(=O)NCC(=O)NC(CS)C(=O)NC(Cc1ccccc1)C(=O)O,NC(CC(=O)O)C(=O)NCC(=O)NC(CS)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db,0
88,O=C(O)[C@H]1C[C@@H](C(=O)O)C1,O=C(O)[C@H]1C[C@@H](C(=O)O)C1,sour,pKa between 2 and 7,IUPAC Dissocation Constants,0
89,COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3o2)cc(OC)c1O,COc1cc(-c2cc(=O)c3c(O)cc(OC4OC(CO)C(O)C(O)C4OC4OC(C)C(O)C(O)C4O)cc3o2)cc(OC)c1O,sweet,sweet-like,flavor_db,0
90,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O,sour,pKa between 2 and 7,IUPAC Dissocation Constants,0
91,CC(C)=CCc1c(O)c(O)c(O)c2c1OC(C)(C)CC2=O,CC(C)=CCc1c(O)c(O)c(O)c2c1OC(C)(C)CC2=O,bitter,"Bitter, Bitterness",chemtastes_db,0
92,O=C(C=CC=CCCc1ccc2c(c1)OCO2)N1CCCCC1,O=C(C=CC=CCCc1ccc2c(c1)OCO2)N1CCCCC1,bitter,astringent; bitter; pungent,phytocompounds_db,0
93,CCCCCCCCCCCOC1C(O)C(O)OC(CO)C1O,CCCCCCCCCCCOC1C(O)C(O)OC(CO)C1O,sweet,sweet,flavor_db,0
94,CCC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)O,CCC(C)C(N)C(=O)NC(Cc1ccccc1)C(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)O,sweet,sweet,flavor_db,0
95,COc1cc(C2Oc3cc(O)cc(OC4OC(CO)C(O)C(O)C4O)c3C(=O)C2O)ccc1O,COc1cc(C2Oc3cc(O)cc(OC4OC(CO)C(O)C(O)C4O)c3C(=O)C2O)ccc1O,sweet,sweet-like,flavor_db,0
96,CC(C)CC(N)C(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,CC(C)CC(N)C(=O)NC(CC(N)=O)C(=O)NC(CCCCN)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db,0
97,CCCCCCCCCCCCCCCCCC=O,CCCCCCCCCCCCCCCCCC=O,undefined,"oil, oily",flavor_db,0
98,NC(=O)CCC(NC(=O)C(N)CCC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,NC(=O)CCC(NC(=O)C(N)CCC(=O)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db,0
99,OCC1OC(OC2C(O)C(CO)OC2(O)CO)C(O)C(O)C1O,OCC1OC(OC2C(O)C(CO)OC2(O)CO)C(O)C(O)C1O,sweet,sweet,flavor_db,0
100,CCCCS,CCCCS,undefined,"garlic, onion, egg, sulfury, coffee",flavor_db,0
101,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCCC(C)(C)CCCO,COC(=O)C(Cc1ccccc1)NC(=O)C(CC(=O)O)NCCC(C)(C)CCCO,sweet,sweet,flavor_db,0
102,CC1=CC(=O)C2CC1C2(C)C,CC1=CC(=O)C2CC1C2(C)C,undefined,"celery, menthol, camphor",flavor_db,0
103,COC(=O)NC1(C(=O)NC(Cc2ccccc2)C(=O)O)CCCCC1,COC(=O)NC1(C(=O)NC(Cc2ccccc2)C(=O)O)CCCCC1,sweet,sweet,flavor_db,0
104,CC(N)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,CC(N)C(=O)NC(CC(N)=O)C(=O)NC(CC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db,0
105,CC(=O)CCC1=C(C)C=CCC1(C)C,CC(=O)CCC1=C(C)C=CCC1(C)C,undefined,floral,flavor_db,0
106,O=C1CC(c2ccccc2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)c(O)c21,O=C1CC(c2ccccc2)Oc2cc(OC3OC(CO)C(O)C(O)C3O)c(O)c(O)c21,sweet,sweet-like,flavor_db,0
107,CCCC(=O)NCCCCC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC,CCCC(=O)NCCCCC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)NC,sweet,sweet,flavor_db,0
108,OCC(O)C(O)C(O)C(O)COCC1OC(OC2(CO)OC(COCC(O)C(O)C(O)C(O)CO)C(O)C2O)C(O)C(O)C1O,OCC(O)C(O)C(O)C(O)COCC1OC(OC2(CO)OC(COCC(O)C(O)C(O)C(O)CO)C(O)C2O)C(O)C(O)C1O,sweet,sweet,flavor_db,0
109,NCCCNP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)CC1O,NCCCNP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)CC1O,sweet,sweet-like,flavor_db,0
110,Cc1ccc2c(c1)OC(=O)C2C,Cc1ccc2c(c1)OC(=O)C2C,undefined,coconut,flavor_db,0
111,OCC1OC(OC2C(O)C(CO)OC(OF)C2O)C(O)C(O)C1O,OCC1OC(OC2C(O)C(CO)OC(OF)C2O)C(O)C(O)C1O,sweet,sweet-like,flavor_db,0
112,COC1C(CO)OC(n2cnc3c(N)ncnc32)C1O,COC1C(CO)OC(n2cnc3c(N)ncnc32)C1O,sweet,sweet-like,flavor_db,0
113,OCC1OC(O)C(O)CC1O,OCC1OC(O)C(O)CC1O,sweet,sweet,flavor_db,0
114,COP(O)(=S)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,COP(O)(=S)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O,sweet,sweet-like,flavor_db,0
115,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1OP(O)(O)=S,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1OP(O)(O)=S,sweet,sweet-like,flavor_db,0
116,COc1ccccc1[Se]CC(=O)O,COc1ccccc1[Se]CC(=O)O,sour,pKa between 2 and 7,IUPAC Dissocation Constants,0
117,CCCCCCOS(=O)(=O)OC1OC(CO)C(O)C(O)C1O,CCCCCCOS(=O)(=O)OC1OC(CO)C(O)C(O)C1O,sweet,sweet,flavor_db,0
118,CCCCCCCCOC1OC(CO)CC(O)C1O,CCCCCCCCOC1OC(CO)CC(O)C1O,sweet,sweet,flavor_db,0
119,CC(=O)OC(C)CCc1ccccc1,CC(=O)OC(C)CCc1ccccc1,undefined,"fruit, green",flavor_db,0
120,O=C(Oc1ccccc1)c1ccccc1O,O=C(Oc1ccccc1)c1ccccc1O,sweet,"sweet, fruity, balsam, mild",flavor_db,0
121,CC(C)C(NC(=O)C(CC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,CC(C)C(NC(=O)C(CC(N)=O)NC(=O)C(N)CC(=O)O)C(=O)NC(Cc1ccccc1)C(=O)O,sweet,sweet,flavor_db,0
122,C=C1C(=O)OC2C1C(OC(=O)C(C)CO)CC1(CC)COC(=O)C(=C)C21,C=C1C(=O)OC2C1C(OC(=O)C(C)CO)CC1(CC)COC(=O)C(=C)C21,bitter,bitter,phytocompounds_db,0
123,CCOC1C(COP(=O)(O)O)OC(n2cnc3c(N)ncnc32)C1O,CCOC1C(COP(=O)(O)O)OC(n2cnc3c(N)ncnc32)C1O,sweet,sweet-like,flavor_db,0
124,OCC1OC(CO)(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C1O,OCC1OC(CO)(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C1O,sweet,sweet,flavor_db,0
125,C[Si](C)OC1C(O)OC(CO)C(O)C1O,C[Si](C)OC1C(O)OC(CO)C(O)C1O,sweet,sweet,flavor_db,0
126,OC1OCC(C2OC(O)C(O)OC2C2COC(O)C(O)O2)OC1O,OC1OCC(C2OC(O)C(O)OC2C2COC(O)C(O)O2)OC1O,sweet,sweet,flavor_db,0
127,CC(C=O)=Cc1ccccc1,CC(C=O)=Cc1ccccc1,sweet,"cassia, sweet, spicy, cinnamon",flavor_db,0
